index,total_in_score,total_out_score,id,title
60,0,0,fruit,"Botany, Geography, and Science (68 vertices)"
61,0,0,tree,"Botany, Geography, and Science (68 vertices)"
62,1,0,Ranunculaceae,"Botany, Geography, and Science (68 vertices)"
63,90,0,States of Germany,Germany's Rich Cultural Landscape (12 vertices)
64,2,0,Heiliggeistkirche,Germany's Rich Cultural Landscape (12 vertices)
65,0,0,Jena,Germany's Rich Cultural Landscape (12 vertices)
66,75,0,Thuringia,Germany's Rich Cultural Landscape (12 vertices)
67,95,0,Germany,Germany's Rich Cultural Landscape (12 vertices)
68,80,0,Heidelberg Castle,Germany's Rich Cultural Landscape (12 vertices)
69,1,0,Thomas Nitzsche,Germany's Rich Cultural Landscape (12 vertices)
70,10,0,Erfurt,Germany's Rich Cultural Landscape (12 vertices)
71,0,0,Old Bridge (Heidelberg),Germany's Rich Cultural Landscape (12 vertices)
72,1,0,Heidelberg,Germany's Rich Cultural Landscape (12 vertices)
73,1,0,List of cities and towns in Germany,Germany's Rich Cultural Landscape (12 vertices)
74,98,0,Trademark,Intellectual Property and Trademarks (6 vertices)
75,95,0,intellectual property,Intellectual Property and Trademarks (6 vertices)
76,85,0,mineralogist,Scientific Disciplines and Theories (14 vertices)
77,78,0,scientist,Scientific Disciplines and Theories (14 vertices)
78,1,0,physics,Scientific Disciplines and Theories (14 vertices)
79,85,0,Theoretical physics,Scientific Disciplines and Theories (14 vertices)
80,88,0,chemistry,Scientific Disciplines and Theories (14 vertices)
81,88,0,chemist,Scientific Disciplines and Theories (14 vertices)
82,1,0,science,Scientific Disciplines and Theories (14 vertices)
83,1,0,atom,Scientific Disciplines and Theories (14 vertices)
84,1,0,Medieval Latin,Scientific Disciplines and Theories (14 vertices)
85,85,0,Mineralogy,Scientific Disciplines and Theories (14 vertices)
86,75,0,Old quantum theory,Scientific Disciplines and Theories (14 vertices)
87,1,0,molecule,Scientific Disciplines and Theories (14 vertices)
88,95,0,physicist,Scientific Disciplines and Theories (14 vertices)
