index,total_in_score,total_out_score,id,title
40,1,0,https://openalex.org/W2972432524,Smart Materials and Applications (26 vertices)
41,1,0,https://openalex.org/W1988507630,Smart Materials and Applications (26 vertices)
42,1,10,https://openalex.org/W3172820237,Smart Materials and Applications (26 vertices)
43,1,0,https://openalex.org/W2889077839,Smart Materials and Applications (26 vertices)
44,0,0,https://openalex.org/W2891657030,Smart Materials and Applications (26 vertices)
45,60,10,https://openalex.org/W4366256808,Smart Materials and Applications (26 vertices)
46,0,1,https://openalex.org/W3199686647,Smart Materials and Applications (26 vertices)
47,1,85,https://openalex.org/W2019740750,Smart Materials and Applications (26 vertices)
48,0,30,https://openalex.org/W3168551284,Smart Materials and Applications (26 vertices)
49,1,1,https://openalex.org/W4292155172,Smart Materials and Applications (26 vertices)
50,1,2,https://openalex.org/W2121276702,Smart Materials and Applications (26 vertices)
51,85,0,https://openalex.org/W3110996270,Smart Materials and Applications (26 vertices)
52,1,85,https://openalex.org/W2601280411,Smart Materials and Applications (26 vertices)
53,2,0,https://openalex.org/W2309180211,Smart Materials and Applications (26 vertices)
54,0,30,https://openalex.org/W2782849789,Smart Materials and Applications (26 vertices)
55,3,10,https://openalex.org/W4200064176,Smart Materials and Applications (26 vertices)
56,2,10,https://openalex.org/W3208714018,Smart Materials and Applications (26 vertices)
57,85,30,https://openalex.org/W2045022847,Smart Materials and Technologies (17 vertices)
58,5,30,https://openalex.org/W2906884559,Smart Materials and Technologies (17 vertices)
59,1,0,https://openalex.org/W3011377157,Smart Materials and Technologies (17 vertices)
60,1,20,https://openalex.org/W3092334647,Smart Materials and Technologies (17 vertices)
61,1,10,https://openalex.org/W3129596619,Smart Materials and Technologies (17 vertices)
62,2,0,https://openalex.org/W3181895242,Smart Materials and Technologies (17 vertices)
63,1,75,https://openalex.org/W3002658734,Smart Materials and Technologies (17 vertices)
64,75,0,https://openalex.org/W4390050522,Smart Materials and Technologies (17 vertices)
65,75,0,https://openalex.org/W4293770104,Smart Materials and Technologies (17 vertices)
66,1,0,https://openalex.org/W2887401592,Smart Materials and Technologies (17 vertices)
67,0,10,https://openalex.org/W3012382635,Smart Materials and Technologies (17 vertices)
68,0,10,https://openalex.org/W3040986209,Smart Materials and Technologies (17 vertices)
69,75,80,https://openalex.org/W3176458112,Smart Materials and Technologies (17 vertices)
70,10,0,https://openalex.org/W3080222366,Smart Materials Respond Adapt (14 vertices)
71,1,10,https://openalex.org/W2970130461,Smart Materials Respond Adapt (14 vertices)
72,1,2,https://openalex.org/W2790646153,Smart Materials Respond Adapt (14 vertices)
73,60,80,https://openalex.org/W2062770871,Smart Materials Respond Adapt (14 vertices)
74,0,10,https://openalex.org/W2797324231,Smart Materials Respond Adapt (14 vertices)
75,50,0,https://openalex.org/W4293740449,Smart Materials Respond Adapt (14 vertices)
76,1,80,https://openalex.org/W3207726911,Smart Materials Respond Adapt (14 vertices)
77,0,0,https://openalex.org/W4387633968,Smart Materials Respond Adapt (14 vertices)
78,90,0,https://openalex.org/W2497239744,Smart Materials Respond Adapt (14 vertices)
79,0,0,https://openalex.org/W2165245257,Smart Materials Respond Adapt (14 vertices)
80,80,0,https://openalex.org/W3047354225,Smart Materials Respond Adapt (14 vertices)
81,0,85,https://openalex.org/W4362568855,Smart Materials Respond Adapt (14 vertices)
82,30,10,https://openalex.org/W2971498842,Smart Materials Respond Adapt (14 vertices)
83,1,10,https://openalex.org/W2800644200,Smart Materials Respond Adapt (14 vertices)
84,95,0,https://openalex.org/W2897868538,Smart Materials Revolutionize Industries (10 vertices)
85,0,0,https://openalex.org/W4385812590,Smart Materials Revolutionize Industries (10 vertices)
86,75,0,https://openalex.org/W2471670862,Smart Materials Revolutionize Industries (10 vertices)
87,80,0,https://openalex.org/W3161412322,Smart Materials Revolutionize Industries (10 vertices)
88,1,0,https://openalex.org/W3192494376,Smart Materials Revolutionize Industries (10 vertices)
89,1,0,https://openalex.org/W2924532152,Smart Materials Revolutionize Industries (10 vertices)
90,10,70,https://openalex.org/W3087596138,Smart Materials Revolutionize Industries (10 vertices)
91,80,0,https://openalex.org/W4281476688,Smart Materials Revolutionize Industries (10 vertices)
92,10,0,https://openalex.org/W4390430015,Smart Materials Revolutionize Industries (10 vertices)
93,0,10,https://openalex.org/W3126760212,Smart Materials Revolutionize Industries (10 vertices)
