index,total_in_score,total_out_score,id,title,abstract
31,2,0,4190,Air Strikes and Clashes (41 vertices),ירון אברהםמסתמן: שר החוץ האמריקני בלינקן דוחה את ביקורו בישראל במספר ימים@N12chat
32,0,0,4295,Air Strikes and Clashes (41 vertices),דין פישרתנועת הרכבת הקלה בגוש דן שבה לפעילות מלאה@N12chat
33,1,0,4316,Air Strikes and Clashes (41 vertices),"יונה לייבזוןפרסום ראשון: יו""ר הכנסת אמיר אוחנה ביטל פגישה עם מזכ""ל האו""ם גוטרש בשל ההתבטאויות האחרונות שלו נגד ישראל, בהן האשמת ישראל בהפרת החוק הבין-לאומי. ""ביטול הפגישה לא הגיע בוואקום"", עקץ אוחנה. ""התכוונתי לנסות ולשכנע, אך יש גם מקרים אבודים וקווים אדומים. לא אלבין את גוטרש""@N12chat"
34,0,0,4423,Air Strikes and Clashes (41 vertices),"דובר צה""ל חושף ממצאים מבית החולים האינדונזי בצפון הרצועה:בבית החולים נמצא רכב השייך למשפחתו של החטוף סאמר א-טלאלקה שנהרג בתקרית המצערת בשג'אעיה. כמו כן נמצא רכב פיק-אפ מהסוג ששימש את המחבלים ב 7.10. בסביבות בית החולים נמצא תשתית תת קרקע ענפה. בית החולים שהיה פעיל במיוחד בחודשיים הראשונים ללחימה שימש גם לפעילות טרור ולמסתור עבור פעילי חמאס.כדי להגיב לכתבה לחצו כאן"
35,0,0,4647,Air Strikes and Clashes (41 vertices),ירון שניידרתיעוד מזירת התקיפה מדרום לדמשק@N12chat
36,0,0,4661,Air Strikes and Clashes (41 vertices),דנה ויסהסיבה לביקור המשלחת הקטארית היום בישראל - דיון בהארכה אפשרית של הפסקת האש@N12chat
37,1,0,4739,Air Strikes and Clashes (41 vertices),אסף רוזנצוייגדיווח בתימן על תקיפה אמריקנית באזור חודידה@N12chat
38,0,0,4740,Air Strikes and Clashes (41 vertices),"מבנה שתקף צה""ל בבית לאהיא בצפון הרצועה.User sent a document"
39,0,0,4769,Air Strikes and Clashes (41 vertices),"דפנה ליאלעם חזרתו של שיקלי לכנסת, ששון גואטה יאלץ לעזוב אותה@N12chat"
40,0,0,4845,Air Strikes and Clashes (41 vertices),"נועם כהןהשחקן דיוויד שווימר תקף את הארגונים ובני האדם המכחישים את האלימות והתקיפות המיניות נגד ישראליות וישראלים ב-7 באוקטובר. בפוסט חריף שפרסם בחשבון האינסטגרם שלו, כתב: ""אנשים יאמינו לכל אחד שהותקף מינית וילחמו בשבילו - אלא אם כן הוא יהודי""@N12chat"
41,0,0,4955,Air Strikes and Clashes (41 vertices),"רויטרס: דרישות סעודיה לנורמליזציה עם ישראל אינן כוללות הקמה בפועל של מדינה פלסטינית. התחייבות תספיקסוכנות הידיעות רויטרס מפרסמת הבוקר כתבה שזוכה לתהודה רחבה בערוצים הפלסטינים (ומוציאה להם את האוויר מהמפרשים) לפיה סעודיה מוכנה להסכם נורמליזציה עם ישראל בתמורה להתחייבות מדינית ישראלית להקמת מדינה פלסטינית אולם אין מניעה לנורמליזציה טרם יישום ההתחייבות.עוד דווח כי סעודיה מעוניינת לחתום עם ארה""ב על ברית הגנתית עוד בטרם יגיע מועד הבחירות לנשיאות, כלומר עדיין בקדנציה הנוכחית של ביידן (חשיבה נכונה של הסעודים שמבינים שביידן ירצה להביא הישגים לקמפיין הבחירות ולכן יהיה לחיץ יותר בעת הזו).ע""פ הכתבה הפסקת המלחמה בעזה או לכל הפחות הצהרה על הפסקת אש מאוד יקלו על סעודיה להתקדם לעסקה.סעודיה תהיה מוכנה במקרה כזה לממן את שיקום הרצועה.##כמה תובנות :הסעודים רוצים לשלם מס שפתיים בעניין הפלסטיני ולא יותר. הם רוצים להצטייר טוב בעולם הערבי אך האינטרס הפלסטיני אינו עולה על האינטרס הסעודי. אפילו לא קרוב.הסעודים מאוד מעוניינים בברית הגנתית עם ארה""ב ורוצים אותה מהר. עוד לפני הבחירות בנובמבר.הסעודים רוצים נורמליזציה עם ישראל!כדי להגיב לכתבה לחצו כאן"
42,0,0,122,Civilian Casualties Mount Gaza (55 vertices),°תוכן ממומן:
43,0,0,280,Civilian Casualties Mount Gaza (55 vertices),°תוכן ממומן
44,0,0,287,Civilian Casualties Mount Gaza (55 vertices),"אסף רוזנצוייגעבד אל-מאלכ אל-חות'י מאיים על ארה""ב: לא נשב בחיבוק ידיים אם האמריקנים יגבירו את מעורבותם ויתקפו את ארצנו. אנחנו נפציץ את הספינות ואת האינטרסים שלהם. אנחנו מזהירים מדינות אחרות שלא להתערב ולא להיות מעורבים כמו האמריקנים@N12chat"
45,0,0,347,Civilian Casualties Mount Gaza (55 vertices),°תוכן ממומן:
46,0,0,348,Civilian Casualties Mount Gaza (55 vertices),"משרד הבריאות הפלסטיני בעזה:125 הרוגים ברצועה ביממה האחרונה.מספר ההרוגים הכולל ברצועה הגיע ל 22,438.מספר הפצועים: כ 57,600כדי להגיב לכתבה לחצו כאן"
47,0,0,349,Civilian Casualties Mount Gaza (55 vertices),"דסק החוץ📝אשתו של מנהיג האופוזיציה הרוסי אלכסיי נבלני שיערה בוועידת הביטחון של מינכן כי פוטין לא יחמוק מעונש אם הדיווח על מותו של בעלה ""יתברר כנכון"". היא הטילה ספק במותו של נבלני במושבת העונשין בחוג הארקטי משום שהידיעה הגיעה מהרשויות ברוסיה@N12chat"
48,0,0,610,Civilian Casualties Mount Gaza (55 vertices),°תוכן ממומן:
49,0,0,611,Civilian Casualties Mount Gaza (55 vertices),גיא ורוןהתרעת חדירת כלי הטיס העוין בצפון - התרעת שווא@N12chat
50,0,0,823,Civilian Casualties Mount Gaza (55 vertices),ערוצים המזוהים עם המיליציות השיעיות בעיראקרומזיםכי הפיצוץ במפרץ חיפה לפני יומיים נגרם מטיל שיוט ששוגר מעיראק .כדי להגיב לכתבה לחצו כאן
51,0,0,901,Civilian Casualties Mount Gaza (55 vertices),"משרד הבריאות הפלסטיני בעזה:163 הרוגים ברצועה ביממה האחרונה.24,448 הרוגים ברצועה במצטבר מאז תחילת המלחמה. מספר הפצועים חצה את ה 61,500.כדי להגיב לכתבה לחצו כאן"
52,0,0,902,Civilian Casualties Mount Gaza (55 vertices),"עמית סגלהשרה מירי רגב: ""יש לממשלה אחריות על כל מה שקורה בתקופתה - לטוב ולרע""@N12chat"
53,100,0,1024,Civilian Casualties Mount Gaza (55 vertices),"משרד הבריאות הפלסטיני בעזה:210 הרוגים ו 386 פצועים ברצועה ביממה האחרונה.סך ההרוגים ברצועה מתחילת המלחמה עומד על 25,700. מספר הפצועים עומד על כ 63,700.כדי להגיב לכתבה לחצו כאן"
54,0,0,1025,Civilian Casualties Mount Gaza (55 vertices),אור רבידבני ובנות משפחות חטופים ופעילים למען שחרורם חסמו הערב את דרך בגין מול בסיס הקריה בתל אביב במחאה נגד קמפיין הרעל שמתנהל לדבריהם נגד המשפחות ונגד האפשרות לעסקה שתביא לשחרור קרוביהם@N12chat
55,0,0,1187,Civilian Casualties Mount Gaza (55 vertices),°תוכן ממומן:
56,0,0,1188,Civilian Casualties Mount Gaza (55 vertices),"אדר גיציסהנזק שנגרם ללול בשתולה כתוצאה מפצמ""ר שנפל בשטח המושב שבגבול הצפון@N12chat"
57,0,0,1209,Civilian Casualties Mount Gaza (55 vertices),"משרד הבריאות הפלסטיני בעזה:190 הרוגים ביממה האחרונה ברצועה (עד חצות).25,295 הרוגים מאז תחילת המלחמה63,000 פצועים.כדי להגיב לכתבה לחצו כאן"
58,0,0,1210,Civilian Casualties Mount Gaza (55 vertices),"דסק העולם הערבידרך הצהרה של משרד החוץ שלה, העבירה סעודיה לארה""ב את עמדתה הנחרצת - לפיה לא יתקיימו יחסים דיפלומטיים עם ישראל ללא מדינה פלסטינית עצמאית וללא הפסקת ""התוקפנות"" הישראלית ברצועת עזה@N12chat"
59,100,0,1626,Civilian Casualties Mount Gaza (55 vertices),"משרד הבריאות הפלסטיני בעזה:250 הרוגים נרשמו ביממה האחרונה ברצועה.מספר ההרוגים הכולל עומד על 20,674.מספר הפצועים הכולל הגיע ל 54,536."
60,0,0,1627,Civilian Casualties Mount Gaza (55 vertices),"מבזקן 12גורם רשמי בסוכנות המטאורולוגית של יפן: צונאמי בגובה של יותר מ-1.2 מטר נצפה ב-Noto, במחוז אישיקאווה@N12chat"
61,0,0,1674,Civilian Casualties Mount Gaza (55 vertices),"משרד הבריאות הפלסטיני מעדכן את מספרי הנפגעים:הרוגים כ 3000פצועים כ 12,50061 הרוגים ויותר מ 1250 פצועים בגדה מאז תחילת המלחמה."
62,0,0,1685,Civilian Casualties Mount Gaza (55 vertices),"משרד הבריאות הפלסטיני בעזה:172 הרוגים ברצועה ביממה האחרונה.סך ההרוגים ברצועה מתחילת המלחמה עומד על 24,620. מספר הפצועים מתקרב ל 62 אלף."
63,0,0,1686,Civilian Casualties Mount Gaza (55 vertices),"אור רבידאירוע ניסיון חטיפת הנשק בבאר שבע: החשוד שנהרג מאש המשטרה הוא מורשד עבד אל חי בן ה-30, אב לארבעה, שבעברו עבד בבית לוינשטיין. גורמים במשטרה טוענים כי לאחר האירוע אחיו של מורשד סיפר להם שאחיו השאיר מכתב התאבדות@N12chat"
64,0,0,1799,Civilian Casualties Mount Gaza (55 vertices),°תוכן ממומן:
65,0,0,1800,Civilian Casualties Mount Gaza (55 vertices),"ערוץ צאברין, המזוהה עם המליציות הפרו איראניות בעיראק: 3 אמריקאים נהרגו ו 6 נפצעו בתקיפה על בסיס עין אלאסד בעיראק."
66,1,0,1912,Civilian Casualties Mount Gaza (55 vertices),לשכת ההסברה של חמאס: 198 הרוגים ו 575 פצועים בעזה ביממה האחרונה.
67,0,0,2136,Civilian Casualties Mount Gaza (55 vertices),"לשכת ההסברה של חמאס:מספר ההרוגים ברצועה עלה ל 14,128מספר הפצועים הוא יותר מ 33 אלף."
68,0,0,2374,Civilian Casualties Mount Gaza (55 vertices),"דסק העולם הערבימשרד הבריאות העזתי של חמאס: 22,835 פלסטינים נהרגו ו-58,416 נפצעו מתחילת המלחמה@N12chat"
69,0,0,2446,Civilian Casualties Mount Gaza (55 vertices),"משרד הבריאות הפלסטיני בעזה:ביממה האחרונה נהרגו ברצועה 112 איש.מספר ההרוגים הכולל מתחילת המלחמה עומד על 23,469.מספר הפצועים הכולל הגיע לכ 59,600.כדי להגיב לכתבה לחצו כאן"
70,0,0,2447,Civilian Casualties Mount Gaza (55 vertices),"אדר גיציסיעד החיסול בתקיפה החריגה באזור צידון - באסל צאלח, בכיר חמאס בלבנון. על פי דיווחים בתקשורת הזרה הוא נפצע בתקיפה - מצבו אינו ידוע. צאלח אחראי על גיוס והפעלת פעילים באיו""ש, גם בזמן המלחמה, בכיר במחלקת העבודות של חמאס שנוהלה על ידי עזאם אקרע - שחוסל יחד עם סאלח עארורי בביירות לפני כחודש בתקיפה שיוחסה לישראל@N12chat"
71,0,0,2493,Civilian Casualties Mount Gaza (55 vertices),°תוכן ממומן:
72,0,0,2494,Civilian Casualties Mount Gaza (55 vertices),"הקרמלין: ממשל ביידן מנסה לנקום בממשל טראמפ בכל הנוגע לאוקראינה, בשל הפסדה של המפלגה הדמוקרטית בבחירות בארה""ב.כדי להגיב לכתבה לחצו כאן"
73,0,0,2557,Civilian Casualties Mount Gaza (55 vertices),"משרד הבריאות הפלסטיני בעזה:מספר ההרוגים הפלסטינים ברצועה עלה ל 17,700.מספר הפצועים הגיע ל 48,780."
74,0,0,2558,Civilian Casualties Mount Gaza (55 vertices),"עימותים בין כוחות אסד למתנגדי משטרבדרום סוריהההצלחות של המורדים בצפון סוריה משפיעות על דרום סוריהקרוב לגבול עם ישראל!ערוצים המסקרים את הנעשה בדרום סוריה מדווחים על עימותים שכוללים ירי באזור אנח'ל (מצורפת מפה).מעבר לכך ישנם דיווחים על כך שבני משפחותיהם של הקצינים הסורים נמלטים מאזור דרעא, א-סווידא' וקוניטרה בדרום סוריה לכיוון דמשק.מקורות סורים לא רשמיים מדווחים על אפשרות של הפיכה צבאית קרובה בסוריה שתעניק למורדים את השליטה במדינה וזאת כדי להמנע משפיכות דמים.במקביל ישנם דיווחים על כך שכוחות אסד שולחים תגבורות לדמשק ומעבים את האבטחה שם.5 תגובות	עימותים בין כוחות אסד למתנגדי משטרבדרום סוריהההצלחות של המורדים בצפון סוריה משפיעות על דרום סוריהקרוב לגבול עם ישראל!ערוצים המסקרים את הנעשה בדרום סוריה מדווחים על עימותים שכוללים ירי באזור אנח'ל (מצורפת מפה).מעבר לכך ישנם דיווחים על כך שבני משפחותיהם של הקצינים הסורים נמלטים מאזור דרעא, א-סווידא' וקוניטרה בדרום סוריה לכיוון דמשק.מקורות סורים לא רשמיים מדווחים על אפשרות של הפיכה צבאית קרובה בסוריה שתעניק למורדים את השליטה במדינה וזאת כדי להמנע משפיכות דמים.במקביל ישנם דיווחים על כך שכוחות אסד שולחים תגבורות לדמשק ומעבים את האבטחה שם.5 תגובות"
75,0,0,2947,Civilian Casualties Mount Gaza (55 vertices),"לשכת ההסברה של חמאס מציגה סטטיסטיקות על המלחמה בעזה:11,500 הרוגים29,800 פצועים.1.5 מיליון עזבו את בתיהם223,000 בתים ניזוקו42,000 בתים נהרסו כליל או אינם ראויים למגורים.95 מבני ממשל ו 74 מסגדים נהרסו כליל.כדי להגיב לכתבה לחצו כאן"
76,0,0,3001,Civilian Casualties Mount Gaza (55 vertices),"חזבאללה מקבל אחריות על שיגור 3 הכטב""מים 👆"
77,0,1,3200,Civilian Casualties Mount Gaza (55 vertices),"מבזקן 12מ-7 באוקטובר 143,682 בני אדם ביקשו דמי אבטלה מהביטוח הלאומי ו-106,199 יצאו לחל""ת שלא מרצון. מבין כלל מבקשי דמי האבטלה: 59% בני 20 עד 40, 39% בני 41 עד 67 ו-818 בני 67 ומעלה@N12chat"
78,0,0,3449,Civilian Casualties Mount Gaza (55 vertices),*תוכן ממומן
79,1,0,3527,Civilian Casualties Mount Gaza (55 vertices),"משרד הבריאות הפלסטיני בעזה:162 הרוגים ברצועה ביממה האחרונה.סך ההרוגים הכולל מתחילת המלחמה עומד על  22,600.מספר הפצועים הפלסטינים עומד על כ 58 אלף."
80,0,0,3528,Civilian Casualties Mount Gaza (55 vertices),"תיעוד התקיפה המיוחסת לישראל על מסלול הנחיתה /המראה בשדה""ת בדמשקUser sent a document"
81,0,0,3745,Civilian Casualties Mount Gaza (55 vertices),"יואב אבןשני חולי חצבת בצפון: משרד הבריאות מעדכן על ילד לא מחוסן נגד חצבת ומבוגר מהצפון שחלו בחצבת. בשני המקרים לא זוהה מקור להדבקה ואף אחד מהם לא שהה בחו""ל לאחרונה. במידה ומופיעים תסמינים של חום וכאבי ראש ולאחר מספר ימים פריחה יש ליצור קשר עם גורמי רפואה@N12chat"
82,0,0,3766,Civilian Casualties Mount Gaza (55 vertices),°תוכן ממומן
83,0,0,3767,Civilian Casualties Mount Gaza (55 vertices),"אביבית מיסניקובלכבוד ט״ו בשבט, ילדי וחברי צוות עמותת ״עלה״, הרשת הלאומית לילדים ואנשים עם מוגבלויות, קיימו פעילות חינוכית בחצר בית הספר ״בית חיל״ ונטעו 25 שתילים למען צמיחתם של 25 יישובי עוטף עזה שפונו בעקבות מתקפת הטרור של 7 באוקטובר. צילום: ברוך הלוי@N12chat"
84,0,0,3903,Civilian Casualties Mount Gaza (55 vertices),°תוכן ממומן
85,0,0,3904,Civilian Casualties Mount Gaza (55 vertices),"מחנה הפליטים טולכרם: הפלסטינים מדווחים כי לאחר 15 שעות של פעילות צה""ל במחנה, יצאו כוחות צה""ל מהמקום.משרד הבריאות הפלסטיני עדכן כי מספר ההרוגים הפלסטינים במהלך הפעילות עלה ל 7.הרס רב נותר במחנה. נהרסו גם קשתות הכניסה למחנה (בדומה למה שנעשה במחנה הפליטים ג'נין לפני שבועות אחדים) וכן נהרסה אנדרטה גדולה לזכרו של יאסר ערפאת.כדי להגיב לכתבה לחצו כאן"
86,0,0,4051,Civilian Casualties Mount Gaza (55 vertices),°תוכן ממומן:
87,0,0,4052,Civilian Casualties Mount Gaza (55 vertices),"°חושבים שהסיפור בלבנון נגמר? לא אם תשאלו את החיילים שם.דווקא עכשיו, הם צריכים אותנו. צריכים את ההרגשה של בית.בואו נעזור למתנדבים בשלומי, שכבר מעל שנה מבשלים אוכל ביתי חם לכל היחידות.הם לא הפסיקו גם בתקופה של מאות רקטות ביום. עכשיו, הם צריכים את התרומות שלכם כדי לא להשבר גם ב""הפסקת אש"".כל שקל שתתרמו, מגיע 100% לחיילים👏תלחצו כאן לקמפיין שלהם:👇👇👇https://my.israelgives.org/he/fundme/hamalshlomiבואו נראה לחיילים ומילואימניקים שאנחנו לא שוכחים אותם!🇮🇱🇮🇱🇮🇱"
88,0,0,4224,Civilian Casualties Mount Gaza (55 vertices),17 התקפות חות'יות על ספינות אזרחיות בחודשים נובמבר - דצמבר
89,0,0,4257,Civilian Casualties Mount Gaza (55 vertices),"משרד הבריאות הפלסטיני בעזה:178 הרוגים ברצועה ביממה האחרונה25,105 הרוגים עד כה ברצועה מאז תחילת המלחמה. מספר הפצועים עומד על כ 62,700.כדי להגיב לכתבה לחצו כאן"
90,1,0,4587,Civilian Casualties Mount Gaza (55 vertices),"שר העבודה הפלסטיני: ישראל ביטלה 18,200 היתרי עבודה שניתנו לפועלים עזתיים."
91,0,0,4620,Civilian Casualties Mount Gaza (55 vertices),"ספיר ליפקיןמשרד הבריאות העזתי של חמאס: 26,900 הרוגים ו-65,949 פצועים פלסטינים - מתחילת המלחמה@N12chat"
92,0,0,4788,Civilian Casualties Mount Gaza (55 vertices),"משרד הבריאות הפלסטיני בעזה:125 הרוגים ברצועה ביממה האחרונה.סך ההרוגים ברצועה מתחילת המלחמה עומד על 23,968.סך הפצועים כ 60,500.כדי להגיב לכתבה לחצו כאן"
93,0,0,4789,Civilian Casualties Mount Gaza (55 vertices),הדלקת נרות חנוכה באיחוד האמירויות.
94,100,0,4924,Civilian Casualties Mount Gaza (55 vertices),"משרד הבריאות הפלסטיני בעזה:147 הרוגים ברצועה ביממה האחרונה.23,357 הרוגים ברצועה מאז תחילת המלחמה. כ 59,500 פצועים ברצועה מאז תחילת המלחמה.כדי להגיב לכתבה לחצו כאן"
95,0,0,4925,Civilian Casualties Mount Gaza (55 vertices),התקיפות באזור רפיח ליד בית החולים הכוויתי.
96,1,10,87,Clashes and Diplomatic Tensions (23 vertices),"אביבית מיסניקובהאלימות בתחבורה הציבורית | נהג אוטובוס של סופרבוס בירושלים הותקף הבוקר סמוך לצומת רמות. לפי איגוד התחבורה בכוח לעובדים, נהג הרכב הפרטי פגע באוטובוס קלות, האשים בהתנגשות את נהג האוטובוס, עצר את רכבו – קילל ואף והפציר בו לצאת ולהתעמת איתו@N12chat"
97,0,0,780,Clashes and Diplomatic Tensions (23 vertices),טראמפ וביידן נפגשים בבית הלבן לראשונה מאז ניצחונו של טראמפ בבחירות.כדי להגיב לכתבה לחצו כאן
98,0,0,927,Clashes and Diplomatic Tensions (23 vertices),"באמצע נאום של ראש עיריית ניו יורק, אריק אדמס, קמה צעירה והחלה לצעוק:אבי הוא ניצול שואה הפסקת אש עכשיו!כדי להגיב לכתבה לחצו כאן"
99,1,0,1592,Clashes and Diplomatic Tensions (23 vertices),"ניר דבוריצה""ל חשף נשקים, טילים ואמצעי לחימה בעומק עזה: בין האמל""ח הרב אותרו גם עשרות רקטות שהוחבאו בארגזי אונר""א במבנה פרטי בצפון הרצועה. כמו כן, מתחת לארגזים נמצאו כ-30 טילי גראד ועוד עשרות טילים נוספים@N12chat"
100,0,0,1858,Clashes and Diplomatic Tensions (23 vertices),"גיא ורוןהאזעקה בקריית שמונה: אותרו כמה זירות של נפילות, באחת מהן נגרם נזק - בשלב זה לא דווח על נפגעים@N12chat"
101,0,0,1940,Clashes and Diplomatic Tensions (23 vertices),"עמית סגל📝ליברמן בפגוש את העיתונות: המפתח להחלפת הממשלה נמצא אצל אריה דרעי, הוא צריך להחליט אם הוא מתנהג כמו עסקן זוטר או כמו מנהיג@N12chat"
102,0,0,2584,Clashes and Diplomatic Tensions (23 vertices),"מבזקן 12הותר לפרסום: רס״ר (מיל׳) אלישע לוינשטרן, בן 38 מחריש, נפל בקרב בדרום רצועת עזה@N12chat"
103,1,0,2945,Clashes and Diplomatic Tensions (23 vertices),נשיא איראן לא ישתתף בועידת האקלים באיחוד האמירויות במחאה על נוכחתו של הנשיא הרצוג שם.
104,0,0,2990,Clashes and Diplomatic Tensions (23 vertices),חזבאללה: בשעה 13:15 שיגרנו שתי רקטות ברכאן לעבר מוצב זרעית.כדי להגיב לכתבה לחצו כאן
