id,abstract,label,text_label,summary
10,"PDVSA TO SIGN CHAMPLIN REFINERY DEAL MARCH 17
  Petroleos de Venezuela, S.A. said it
  will sign a contract March 17 to buy a half interest in a
  Corpus Christi, Texas refinery and related operations.
      The contract, to be signed by PDVSA and Champlin
  Petroleum's parent company, the Union Pacific Corp &lt;UNP>, will
  create a new joint venture called Champlin Refining.
      The state oil company said PDVSA will pay on the order of
  30 mln dlrs for the half interest in Champlin.
       Energy minister Arturo Hernandez Grisanti said Wednesday
  the cost would be 33 mln dlrs in cash, plus an additional 60
  mln in crude and refined oil shipments.
      PDVSA and Union Pacific have sought a line of credit from a
  group of North American and Japanese banks to finance the new
  company's working capital, the Venezuelan company said.
      Under the deal, PDVSA will supply up to 140,000 barrels a
  day to the refinery with the option to place 50,000 bpd more -
  mostly gasoline and distillates - through Champlin's
  distribution system in 10 U.S. states.
      The new company will be directed by a six-member board,
  with three representatives each from PDVSA and Union Pacific.
  

",[86],['crude'],"PDVSA TO SIGN CHAMPLIN REFINERY DEAL MARCH 17
  Petroleos de Venezuela, S.A. said it
  will sign a contract March 17 to buy a half interest in a
  Corpus Christi, Texas refinery and related operations.
      The contract, to be signed by PDVSA and Champlin
  Petroleum's parent company, the Union Pacific Corp &lt;UNP>, will
  create a new joint venture called Champlin Refining.
      The state oil company said PDVSA will pay on the order of
  30 mln dlrs for the half interest in Champlin.
       Energy minister Arturo Hernandez Grisanti said Wednesday
  the cost would be 33 mln dlrs in cash, plus an additional 60
  mln in crude and refined oil shipments.
      PDVSA and Union Pacific have sought a line of credit from a
  group of North American and Japanese banks to finance the new
  company's working capital, the Venezuelan company said.
      Under the deal, PDVSA will supply up to 140,000 barrels a
  day to the refinery with the option to place 50,000 bpd more -
  mostly gasoline and distillates - through Champlin's
  distribution system in 10 U.S. states.
      The new company will be directed by a six-member board,
  with three representatives each from PDVSA and Union Pacific.
  

"
11,"MCCORMICK AND CO INC &lt;MCCRK> 1ST QTR NET
  Qtr ends Feb 28
      Shr 37 cts vs 35 cts
      Net 4,346,000 vs 4,202,000
      Revs 232,006,000 vs 223,151,000
  

",[41],['earn'],"MCCORMICK AND CO INC &lt;MCCRK> 1ST QTR NET
  Qtr ends Feb 28
      Shr 37 cts vs 35 cts
      Net 4,346,000 vs 4,202,000
      Revs 232,006,000 vs 223,151,000
  

"
12,"BRISTOL-MYERS TRUST &lt;BYU> EXTENDS EXPIRATION
  &lt;Americus Shareowner Service Corp>
  said the Americus Trust for Bristol-Myers will continue to
  accept tendered Bristol-Meyers Co &lt;BMY> shares until December
  one, extending the original expiration date of April one for
  eight months.
      If the common stock price exceeds the trust's termination
  price of 110 dlrs, Americus Shareowner Service said, the trust
  will be temporarily closed until the price of the underlying
  stock falls below the termination price.
  

",[3],['acq'],"BRISTOL-MYERS TRUST &lt;BYU> EXTENDS EXPIRATION
  &lt;Americus Shareowner Service Corp>
  said the Americus Trust for Bristol-Myers will continue to
  accept tendered Bristol-Meyers Co &lt;BMY> shares until December
  one, extending the original expiration date of April one for
  eight months.
      If the common stock price exceeds the trust's termination
  price of 110 dlrs, Americus Shareowner Service said, the trust
  will be temporarily closed until the price of the underlying
  stock falls below the termination price.
  

"
13,"SHORT-DATED SAUDI RIYAL RATES FIRM IN QUIET MARKET
  Short-dated Saudi riyal interest rates
  firmed but other rates were steady in quiet trading, dealers
  said.
      ""Day-to-day money is a bit tighter,"" one trader said.
      Overnight rose two points to six pct, while most quotes for
  tomorrow/next and spot/next were 1/2 point higher at around
  six, 5-1/2 pct.
      The periods were essentially steady at 5-7/8, 5/8 pct for
  one month, 6-1/2, 3/8 pct for three, and 6-7/8, 11/16 for six
  months.
      The spot riyal stood at 3.7500/05 to the dollar after
  3.7506/09 yesterday.
  

",[51],['money-fx'],"SHORT-DATED SAUDI RIYAL RATES FIRM IN QUIET MARKET
  Short-dated Saudi riyal interest rates
  firmed but other rates were steady in quiet trading, dealers
  said.
      ""Day-to-day money is a bit tighter,"" one trader said.
      Overnight rose two points to six pct, while most quotes for
  tomorrow/next and spot/next were 1/2 point higher at around
  six, 5-1/2 pct.
      The periods were essentially steady at 5-7/8, 5/8 pct for
  one month, 6-1/2, 3/8 pct for three, and 6-7/8, 11/16 for six
  months.
      The spot riyal stood at 3.7500/05 to the dollar after
  3.7506/09 yesterday.
  

"
14,"DESOTO &lt;DSO> SELLS INDUSTRIAL CHEMICAL ASSETS
  DeSoto Inc said it sold the
  plant, inventory and certain other assets of some of its
  industrial chemical operations to Plastic Specialities and
  Technologies Inc, a privately-held company headquartered in
  Parsippany, New Jersey.  Terms were not disclosed.
      Desoto's industrial chemical operations are based in Fort
  Worth, Texas, and has annual sales of about 17 mln dlrs.
  

",[3],['acq'],"DESOTO &lt;DSO> SELLS INDUSTRIAL CHEMICAL ASSETS
  DeSoto Inc said it sold the
  plant, inventory and certain other assets of some of its
  industrial chemical operations to Plastic Specialities and
  Technologies Inc, a privately-held company headquartered in
  Parsippany, New Jersey.  Terms were not disclosed.
      Desoto's industrial chemical operations are based in Fort
  Worth, Texas, and has annual sales of about 17 mln dlrs.
  

"
15,"NEW YORK STATE ELECTRIC &lt;NGE> ENDS ACQUISITION
  New York State Electric and
  Gas Corp said it has terminated its effort to acquire Corning
  Natural Gas Corp.
      It cited as reasons the uncertain regulatory climate in New
  York State and the depresed price of New York State Electric
  stock which has been caused by the delay in the Nine Mile Point
  Unit Two nuclear plant.
      The company had said in December that it had been
  interested in acquiring Corning Natural Gas.
  

",[3],['acq'],"NEW YORK STATE ELECTRIC &lt;NGE> ENDS ACQUISITION
  New York State Electric and
  Gas Corp said it has terminated its effort to acquire Corning
  Natural Gas Corp.
      It cited as reasons the uncertain regulatory climate in New
  York State and the depresed price of New York State Electric
  stock which has been caused by the delay in the Nine Mile Point
  Unit Two nuclear plant.
      The company had said in December that it had been
  interested in acquiring Corning Natural Gas.
  

"
16,"EC SOURCES SAY UK WHEAT PLAN YET TO BE APPROVED
  The European Commission has not taken a
  decision on applications from the British government for the
  release of 200,000 tonnes of intervention feed wheat onto the
  British market in May and June, Commission sources said.
      They said last week's cereals management committee agreed
  to release 70,000 tonnes of feed wheat through weekly tenders
  between April 14 and May 26. It also indicated it planned to
  allow the release of another 30,000 tonnes from April 23.
      However, it decided to leave consideration of the release
  of further wheat until later.
      The British government had applied for the release of a
  further 100,000 tonnes in both May and June from British
  intervention stores to prevent market prices rising.
      However, the sources said, the Commission wanted to review
  the market situation nearer the time before giving its
  approval.
      The Commission was given new powers last year to control
  the release of intervention cereals onto the market, the
  sources noted.
      Following last week's committee meeting, the U.K. Ministry
  of Agriculture said the Commission had given an assurance that
  additional quantities of intervention wheat would be made
  available in May and June. It also said that it was envisaged
  that monthly releases would be at least 100,000 tonnes,
  depending on the state of the market.
      This lead to the widespread assumption that the Commission
  had actually approved the release of 300,000 tonnes during the
  three months of April, May and June at last week's meeting.
  

","[19, 39]","['wheat', 'grain']","The European Commission has not yet approved the UK government's request to release 200,000 tonnes of intervention feed wheat onto the British market in May and June, despite the UK's claim that the Commission had given an assurance for additional releases. The Commission's cereals management committee agreed to release 70,000 tonnes of feed wheat through tenders until May 26 and indicated another 30,000 tonnes from April 23, but will review the market situation before deciding on further releases. The British government's application aims to prevent market prices from rising, but the Commission wants to assess the market conditions closer to the release dates before approving the full amount."
17,"ATI MEDICAL INC &lt;ATIM> 2ND QTR JAN 31 NET
  Shr two cts vs eight cts
      Net 118,933 vs 296,272
      Revs 2,742,731 vs 1,840,129
      Six mths
      Shr two cts vs 12 cts
      Net 92,372 vs 444,975
      Revs 4,977,105 vs 3,296,110
  

",[41],['earn'],"ATI MEDICAL INC &lt;ATIM> 2ND QTR JAN 31 NET
  Shr two cts vs eight cts
      Net 118,933 vs 296,272
      Revs 2,742,731 vs 1,840,129
      Six mths
      Shr two cts vs 12 cts
      Net 92,372 vs 444,975
      Revs 4,977,105 vs 3,296,110
  

"
18,"PEGASUS GOLD INC &lt;PGULF> 4TH QTR NET
  Shr profit 20 cts vs loss two cts
      Net profit 2,665,000 vs loss 202,000
      Revs 12.1 mln vs 5,993,000
      Year
      Shr profit 35 cts vs loss 11 cts
      Net profit 4,653,000 vs loss 1,167,000
      Revs 35.1 mln vs 18.0 mln
      NOTE: Current qtr includes gain of 1.1 mln dlrs from tax
  benefit.
  

",[41],['earn'],"PEGASUS GOLD INC &lt;PGULF> 4TH QTR NET
  Shr profit 20 cts vs loss two cts
      Net profit 2,665,000 vs loss 202,000
      Revs 12.1 mln vs 5,993,000
      Year
      Shr profit 35 cts vs loss 11 cts
      Net profit 4,653,000 vs loss 1,167,000
      Revs 35.1 mln vs 18.0 mln
      NOTE: Current qtr includes gain of 1.1 mln dlrs from tax
  benefit.
  

"
19,"ORS SEEKS CANADIAN FUNDS FOR HEAVY OIL TEST
  &lt;ORS Corp> said &lt;Dominion
  Securities (Alberta) Inc> has been appointed to offer common
  shares in a new Canadaina company being organized to exploit
  heavy oil production opportunities in Canada and Western
  Europe.
      ORS said the offer for private sale of the stock being made
  on a best efforts basis is designed to raise five mln Canadian
  dlrs which the new company will invest in properties and
  projects using the Electromagnetic Well Stimulation Process
  developed by IIT Research Institute under sponsorship of ORS.
  

",[86],['crude'],"ORS SEEKS CANADIAN FUNDS FOR HEAVY OIL TEST
  &lt;ORS Corp> said &lt;Dominion
  Securities (Alberta) Inc> has been appointed to offer common
  shares in a new Canadaina company being organized to exploit
  heavy oil production opportunities in Canada and Western
  Europe.
      ORS said the offer for private sale of the stock being made
  on a best efforts basis is designed to raise five mln Canadian
  dlrs which the new company will invest in properties and
  projects using the Electromagnetic Well Stimulation Process
  developed by IIT Research Institute under sponsorship of ORS.
  

"
20,"MAXTOR &lt;MXTR> AGREES TO ACQUIRE U.S. DESIGN
  Maxtor Corp and U.S. Design
  Corp &lt;USDC>, said they reached definitive agreement covering
  the acquisition of U.S. Design by Maxtor.
      They said the arrangement, which is subject to a number of
  conditions including U.S. Design shareholder approval, calls
  for Maxtor to issue 12 mln dlrs worth of its own common stock
  in exchange for all of U.S. Design.
      The number of Maxtor shares to be issued will be determined
  by the average closing price of Maxtor stock over the 10
  trading day period prior to the day the acquisition becomes
  effective, the companies also said.
  

",[3],['acq'],"MAXTOR &lt;MXTR> AGREES TO ACQUIRE U.S. DESIGN
  Maxtor Corp and U.S. Design
  Corp &lt;USDC>, said they reached definitive agreement covering
  the acquisition of U.S. Design by Maxtor.
      They said the arrangement, which is subject to a number of
  conditions including U.S. Design shareholder approval, calls
  for Maxtor to issue 12 mln dlrs worth of its own common stock
  in exchange for all of U.S. Design.
      The number of Maxtor shares to be issued will be determined
  by the average closing price of Maxtor stock over the 10
  trading day period prior to the day the acquisition becomes
  effective, the companies also said.
  

"
21,"ROYAL BANK SEES IMPROVED RESULTS
  &lt;Royal Bank of Canada>, in reporting a
  19 pct drop in first quarter earnings, said it expects to
  report improved results in future earnings periods.
      ""Healthy consumer credit growth, record fee-based income,
  highly profitable securities and foreign exchange trading, and
  a solid capital position...combined with the restraint of
  non-interest expenses, should lead to improved results in the
  periods ahead,"" chairman Allan Taylor said in a statement.
      The bank earlier reported profit for the first quarter
  ended January 31 fell to 114 mln dlrs from 140 mln dlrs a year
  ago.
      Taylor said loans to the energy sector continue to
  substantially hurt earnings while profitability of the bank's
  international operations remains weak, reflecting
  resource-related difficulties of private and public sector
  borrowers and unsatisfactory results from capital market
  activities.
      The bank said earnings from domestic operations rose to 103
  mln dlrs in the first quarter from 98 mln dlrs a year ago while
  earnings from international operations plunged to 11 mln dlrs
  from 42 mln dlrs last year.
      Royal Bank said first quarter international net interest
  income declined from last year, reflecting reduced revenues
  from international investment banking as well as a significant
  loss on disposal of its affiliate in Trinidad and Tobago.
      Other income rose to 251 mln dlrs from 220 mln dlrs last
  year. The rise was due to higher commercial banking and retail
  deposit service fees, and higher foreign exchange revenue but
  lower securities commissions from international investment bank
  operations partly offset the gains, Royal Bank said.
      The bank said a two billion dlr increase in total assets to
  98.7 billion dlrs was due mainly to continued growth in
  consumer lending, particularly residential mortgages.
  

",[41],['earn'],"Royal Bank of Canada reported a 19% drop in first-quarter earnings, but expects improved results in future periods. Chairman Allan Taylor attributes this optimism to healthy consumer credit growth, record fee-based income, profitable securities and foreign exchange trading, and a solid capital position. The bank's domestic operations showed a slight increase in earnings, while international operations saw a significant decline due to challenges in the energy sector and weak international operations. Royal Bank's total assets grew by two billion dollars, primarily due to increased consumer lending, especially in residential mortgages."
22,"GOTAAS-LARSEN &lt;GOTLF> TO BUILD FIFTH CARRIER
  Gotaas-Larsen Shipping Corp
  said it had exercised an option to build a fifth in a series of
  crude oil carriers to be constructed by &lt;Daewoo Shipbuilding
  and Heavy Machinery Ltd> in South Korea.
  

","[36, 86]","['ship', 'crude']","GOTAAS-LARSEN &lt;GOTLF> TO BUILD FIFTH CARRIER
  Gotaas-Larsen Shipping Corp
  said it had exercised an option to build a fifth in a series of
  crude oil carriers to be constructed by &lt;Daewoo Shipbuilding
  and Heavy Machinery Ltd> in South Korea.
  

"
23,"JAPAN ASKS TRADERS, EXPORTERS TO CUT DOLLAR SALES
  The Ministry of International Trade and
  Industry (MITI) has asked about 30 Japanese trading houses and
  exporters to refrain from excessive dollar selling, trading
  house officials said.
      The officials told Reuters MITI asked them to moderate
  their foreign exchange trading because the excessive rise in
  the yen will have unfavourable effects on the economy. It made
  the request by telephone.
      A MITI official said the ministry has conducted a survey of
  foreign exchange trading by trade houses and exporters. But he
  said it was not aimed at moderating dollar selling.
      The trading house officials said MITI had asked them to
  undertake foreign exchange transactions with due consideration
  to the adverse effects excessive exchange rate movements would
  have on the economy.
      The MITI official said MITI undertakes such surveys when
  exchange rates fluctuate widely. A similiar survey was made
  when the currency fell to the previous record low of 149.98 on
  January 19. It hit a new record low of 148.20 yen yesterday.
      He said the survey showed currency transactions by trade
  houses and exporters contributed little to the dollar fall.
  

","[55, 83, 51]","['yen', 'dlr', 'money-fx']","JAPAN ASKS TRADERS, EXPORTERS TO CUT DOLLAR SALES
  The Ministry of International Trade and
  Industry (MITI) has asked about 30 Japanese trading houses and
  exporters to refrain from excessive dollar selling, trading
  house officials said.
      The officials told Reuters MITI asked them to moderate
  their foreign exchange trading because the excessive rise in
  the yen will have unfavourable effects on the economy. It made
  the request by telephone.
      A MITI official said the ministry has conducted a survey of
  foreign exchange trading by trade houses and exporters. But he
  said it was not aimed at moderating dollar selling.
      The trading house officials said MITI had asked them to
  undertake foreign exchange transactions with due consideration
  to the adverse effects excessive exchange rate movements would
  have on the economy.
      The MITI official said MITI undertakes such surveys when
  exchange rates fluctuate widely. A similiar survey was made
  when the currency fell to the previous record low of 149.98 on
  January 19. It hit a new record low of 148.20 yen yesterday.
      He said the survey showed currency transactions by trade
  houses and exporters contributed little to the dollar fall.
  

"
