abstract,creation_time,channel_name,platform_type,id,summary
"אור רבידכתב אישום הוגש נגד תושב מזרח ירושלים כבן 40, לאחר שתקף את זוגתו באמצעות מוט שואב אבק וחנק אותה@N12chat",2024-02-28 12:55:10+00:00,N12chat,telegram,10,"אור רבידכתב אישום הוגש נגד תושב מזרח ירושלים כבן 40, לאחר שתקף את זוגתו באמצעות מוט שואב אבק וחנק אותה@N12chat"
"ענבר טויזר📝ד""ר הגר מזרחי, ראש חטיבת הרפואה במשרד הבריאות: ""אנחנו חוששים מהשהייה הממושכת בידי חמאס ומסינדרום הזנה ממושכת - תופעה רפואית שנגרמת בעקבות הרעבה. ייתכן שהם לא קיבלו מספיק אוכל לכן אנחנו נערכים לתת מענה נכון""@N12chat",2023-11-22 12:41:14+00:00,N12chat,telegram,11,"ענבר טויזר📝ד""ר הגר מזרחי, ראש חטיבת הרפואה במשרד הבריאות: ""אנחנו חוששים מהשהייה הממושכת בידי חמאס ומסינדרום הזנה ממושכת - תופעה רפואית שנגרמת בעקבות הרעבה. ייתכן שהם לא קיבלו מספיק אוכל לכן אנחנו נערכים לתת מענה נכון""@N12chat"
"מבזקן 12גבר בן 50 נפצע בינוני מאירוע אלימות סמוך לחדרה. צוות מד""א טיפל בו ופינה אותו לבית החולים הלל יפה בעיר עם פציעה חודרת@N12chat",2024-02-15 13:54:27+00:00,N12chat,telegram,12,"מבזקן 12גבר בן 50 נפצע בינוני מאירוע אלימות סמוך לחדרה. צוות מד""א טיפל בו ופינה אותו לבית החולים הלל יפה בעיר עם פציעה חודרת@N12chat"
ירון שניידרתיעוד נוסף משיירת רכבי הצלב האדום - בדרכם לצד המצרי@N12chat,2023-11-25 21:41:16+00:00,N12chat,telegram,13,ירון שניידרתיעוד נוסף משיירת רכבי הצלב האדום - בדרכם לצד המצרי@N12chat
"שר החוץ האמריקאי בלינקן, אחרי ביקורו בסעודיה:""יורש העצר הסעודי הודיע שוב על התעניינותה הרבה של סעודיה להמשיך בתהליך הנורמליזציה עם ישראל""כדי להגיב לכתבה לחצו כאן",2024-02-06 18:03:41+00:00,abualiexpress,telegram,14,"שר החוץ האמריקאי בלינקן, אחרי ביקורו בסעודיה:""יורש העצר הסעודי הודיע שוב על התעניינותה הרבה של סעודיה להמשיך בתהליך הנורמליזציה עם ישראל""כדי להגיב לכתבה לחצו כאן"
CNN :שתי החטופות האמריקאיות הועברו לידי הצלב האדום בעזה.,2023-10-20 17:58:16+00:00,abualiexpress,telegram,15,CNN :שתי החטופות האמריקאיות הועברו לידי הצלב האדום בעזה.
הדיווח משמעותי כי פינוי בית החולים נצר יראה שהדבר אפשרי ושזה קורה הלכה למעשה. בעקבותיו יבואו עוד.שלב חדש במערכה!!,2023-11-10 09:59:12+00:00,abualiexpress,telegram,16,הדיווח משמעותי כי פינוי בית החולים נצר יראה שהדבר אפשרי ושזה קורה הלכה למעשה. בעקבותיו יבואו עוד.שלב חדש במערכה!!
בן גולדפריינדאחרי שנכשלו בבדיקות סמים והושעו: תובע איגוד הכדורסל ביקש להרחיק את גארד הפועל תל אביב אקסבייר מנפורד ואת גארד הפועל אילת דיישון בוקר לארבעה חודשים@N12chat,2024-02-29 10:48:30+00:00,N12chat,telegram,17,בן גולדפריינדאחרי שנכשלו בבדיקות סמים והושעו: תובע איגוד הכדורסל ביקש להרחיק את גארד הפועל תל אביב אקסבייר מנפורד ואת גארד הפועל אילת דיישון בוקר לארבעה חודשים@N12chat
"כלי תקשורת לבנוניים: צה""ל תקף מבנה בכפר יאטר בדרום לבנון.User sent a document",2023-12-13 14:50:23+00:00,abualiexpress,telegram,18,"כלי תקשורת לבנוניים: צה""ל תקף מבנה בכפר יאטר בדרום לבנון.User sent a document"
"אסף רוזנצוייג📝צוותו של איש האופוזיציה הרוסי אלכסיי נבלני עדכן כי הוא לא יצר עמם קשר במשך שבעה ימים ברציפות. דובר הקרמלין דמיטרי פסקוב הבהיר הבוקר: ""זו לא הבעיה שלנו, אין לנו יכולת לעקוב אחר מיקומם של אסירים""@N12chat",2023-12-12 13:36:42+00:00,N12chat,telegram,19,"אסף רוזנצוייג📝צוותו של איש האופוזיציה הרוסי אלכסיי נבלני עדכן כי הוא לא יצר עמם קשר במשך שבעה ימים ברציפות. דובר הקרמלין דמיטרי פסקוב הבהיר הבוקר: ""זו לא הבעיה שלנו, אין לנו יכולת לעקוב אחר מיקומם של אסירים""@N12chat"
"ספיר ליפקיןבכווית הכריזו על האמיר החדש: משעל אל-אחמד אל-ג'אבר א-סבאח, אחיו של נואף א-סבאח שהלך לעולמו@N12chat",2023-12-16 12:42:46+00:00,N12chat,telegram,20,"ספיר ליפקיןבכווית הכריזו על האמיר החדש: משעל אל-אחמד אל-ג'אבר א-סבאח, אחיו של נואף א-סבאח שהלך לעולמו@N12chat"
"ספיר ליפקיןתיעוד מבית הספר ח'ליפה בבית לאהיא, צפון הרצועה ששימש כמחסה לעזתים - שהוצאו ממנו וחלקם נעצרו@N12chat",2023-12-10 15:55:45+00:00,N12chat,telegram,21,"ספיר ליפקיןתיעוד מבית הספר ח'ליפה בבית לאהיא, צפון הרצועה ששימש כמחסה לעזתים - שהוצאו ממנו וחלקם נעצרו@N12chat"
"בן גולדפריינד📝אליפות אוסטרליה הפתוחה 2024 | הטניסאי דניל מדבדב חזר מפיגור שתי מערכות מול אלכסנדר זברב, ניצח 2:3 ועלה לגמר בפעם השלישית בקריירה. ביום ראשון הוא יפגוש את יאניק סינר שניצח מוקדם יותר את נובאק ג'וקוביץ'@N12chat",2024-01-26 16:21:41+00:00,N12chat,telegram,22,"בן גולדפריינד📝אליפות אוסטרליה הפתוחה 2024 | הטניסאי דניל מדבדב חזר מפיגור שתי מערכות מול אלכסנדר זברב, ניצח 2:3 ועלה לגמר בפעם השלישית בקריירה. ביום ראשון הוא יפגוש את יאניק סינר שניצח מוקדם יותר את נובאק ג'וקוביץ'@N12chat"
"אחרי יותר מ 30 אלף מצביעים👆השם הנבחר לציר ג'באליא החדש הוא:ציר דקסה- על שמו של מח""ט 401 הגיבור, בעל עיטור צל""ש אלוף - אחסאן דקסה.אני מזמין גם את כתבי הערוצים השונים וכלי התקשורת לקרוא לציר זהציר דקסה.תגובה אחת",2024-11-11 19:13:20+00:00,abualiexpress,telegram,23,"אחרי יותר מ 30 אלף מצביעים👆השם הנבחר לציר ג'באליא החדש הוא:ציר דקסה- על שמו של מח""ט 401 הגיבור, בעל עיטור צל""ש אלוף - אחסאן דקסה.אני מזמין גם את כתבי הערוצים השונים וכלי התקשורת לקרוא לציר זהציר דקסה.תגובה אחת"
ניו יורק: צעדה אנטי ישראלית של ארגון יהודי בקריאה להפסקת אש בעזה תוך שימוש בבובות המסמלות תינוקות פלס' שנהרגו בעזה.User sent a document,2023-12-30 07:39:15+00:00,abualiexpress,telegram,24,ניו יורק: צעדה אנטי ישראלית של ארגון יהודי בקריאה להפסקת אש בעזה תוך שימוש בבובות המסמלות תינוקות פלס' שנהרגו בעזה.User sent a document
"מקורות המזוהים עם משטר אסד טוענים: מטרת התקיפה הישראלית בסוריה לפנות בוקר👆, שלא דווחה רשמית על ידי המשטר, היתה לפגוע במערכת הגנה אווירית איראנית המשלבת את טילי ""ציאד"". ע""פ מקורות אלו בימים האחרונים הוחלפו קצינים רבים במערך ההגנה האווירית הסורי ובוצעו שינויי מיקומי סוללות לצד מיגון אתרים בהם מוצבות מערכות ""ציאד"".כדי להגיב לכתבה לחצו כאן",2023-11-22 15:31:01+00:00,abualiexpress,telegram,25,"מקורות המזוהים עם משטר אסד טוענים: מטרת התקיפה הישראלית בסוריה לפנות בוקר👆, שלא דווחה רשמית על ידי המשטר, היתה לפגוע במערכת הגנה אווירית איראנית המשלבת את טילי ""ציאד"". ע""פ מקורות אלו בימים האחרונים הוחלפו קצינים רבים במערך ההגנה האווירית הסורי ובוצעו שינויי מיקומי סוללות לצד מיגון אתרים בהם מוצבות מערכות ""ציאד"".כדי להגיב לכתבה לחצו כאן"
"אסף רוזנצוייגכטב""ם אוקראיני פגע הלילה בבית זיקוק בעיר וולגוגרד ברוסיה. במקביל, חיל האוויר של אוקראינה הודיע שהפיל הלילה 9 מתוך 14 כטב""מים איראניים ששיגר צבא רוסיה@N12chat",2024-02-03 09:24:21+00:00,N12chat,telegram,26,"אסף רוזנצוייגכטב""ם אוקראיני פגע הלילה בבית זיקוק בעיר וולגוגרד ברוסיה. במקביל, חיל האוויר של אוקראינה הודיע שהפיל הלילה 9 מתוך 14 כטב""מים איראניים ששיגר צבא רוסיה@N12chat"
"אור רבידהמשטרה מעדכנת כי עצרה גבר בחשד לדקירה בלוד: ""המשטרה פתחה בחקירה ובסריקות מבצעיות בלוד עם קבלת הדיווח. השוטרים איתרו סמוך לזירה את החשוד, האב, ועצרו אותו. הרקע והנסיבות בבדיקה""@N12chat",2023-12-28 09:15:24+00:00,N12chat,telegram,27,"אור רבידהמשטרה מעדכנת כי עצרה גבר בחשד לדקירה בלוד: ""המשטרה פתחה בחקירה ובסריקות מבצעיות בלוד עם קבלת הדיווח. השוטרים איתרו סמוך לזירה את החשוד, האב, ועצרו אותו. הרקע והנסיבות בבדיקה""@N12chat"
"ניר דבורישר הביטחון גלנט למשפחות החיילים החטופים: ""הפעולה הצבאית בעזה לא תסתיים עד להשבת החטופים"". צילום: אריאל חרמוני@N12chat",2024-01-07 18:14:21+00:00,N12chat,telegram,28,"ניר דבורישר הביטחון גלנט למשפחות החיילים החטופים: ""הפעולה הצבאית בעזה לא תסתיים עד להשבת החטופים"". צילום: אריאל חרמוני@N12chat"
"מקורות המזוהים עם הציר השיעי מדווחים כי חיל האוויר האמריקאי תוקף בשעה זו בשכונת הרבאש בדיר א-זור (צפון מזרח סוריה), וזאת בעקבות תקיפה מוקדמת יותר של הבסיס האמריקאי בשדה הגז עמר, בצפון סוריה.",2023-11-08 22:36:19+00:00,abualiexpress,telegram,29,"מקורות המזוהים עם הציר השיעי מדווחים כי חיל האוויר האמריקאי תוקף בשעה זו בשכונת הרבאש בדיר א-זור (צפון מזרח סוריה), וזאת בעקבות תקיפה מוקדמת יותר של הבסיס האמריקאי בשדה הגז עמר, בצפון סוריה."
"ירון אברהםחמישה ימים לאחר שנתניהו ביטל את הדיון בנושא: הערב יערכו בשני הקבינטים - המלחמה והמדיני ביטחוני, דיונים בסוגיית היום שאחרי בעזה@N12chat",2024-01-02 07:23:51+00:00,N12chat,telegram,30,"ירון אברהםחמישה ימים לאחר שנתניהו ביטל את הדיון בנושא: הערב יערכו בשני הקבינטים - המלחמה והמדיני ביטחוני, דיונים בסוגיית היום שאחרי בעזה@N12chat"
"דסק החוץפיצוץ המכונית בגבול ארה""ב-קנדה: טרור עדיין לא נשלל כאחת מנסיבות האירוע@N12chat",2023-11-22 21:46:08+00:00,N12chat,telegram,31,"דסק החוץפיצוץ המכונית בגבול ארה""ב-קנדה: טרור עדיין לא נשלל כאחת מנסיבות האירוע@N12chat"
"דסק החוץהתגובה האמריקנית לפגיעה בבסיס בירדן: היועץ לביטחון לאומי של ארה""ב ג'ייק סאליבן אמר ""בכוונתנו להוציא תקיפות נוספות""@N12chat",2024-02-04 14:22:55+00:00,N12chat,telegram,32,"דסק החוץהתגובה האמריקנית לפגיעה בבסיס בירדן: היועץ לביטחון לאומי של ארה""ב ג'ייק סאליבן אמר ""בכוונתנו להוציא תקיפות נוספות""@N12chat"
נשיא בלבנון צריך ש 86 מתוך 128 חברי הפרלמנט יבחרו בו כדי להתמנות (שני שלישים).,2024-12-18 18:28:17+00:00,abualiexpress,telegram,33,נשיא בלבנון צריך ש 86 מתוך 128 חברי הפרלמנט יבחרו בו כדי להתמנות (שני שלישים).
ירון אברהםבמסגרת ההסכם מול קטאר: ישראל תגדיל משמעותית את מלאי התרופות לעזה@N12chat,2024-01-12 16:57:28+00:00,N12chat,telegram,34,ירון אברהםבמסגרת ההסכם מול קטאר: ישראל תגדיל משמעותית את מלאי התרופות לעזה@N12chat
"דובר הרמטכ""ל העיראקי מאשים את הקואליציה בראשות ארה""ב בתקיפה ""הבלתי מוצדקת"" היום בבגדד.",2024-01-04 11:25:33+00:00,abualiexpress,telegram,35,"דובר הרמטכ""ל העיראקי מאשים את הקואליציה בראשות ארה""ב בתקיפה ""הבלתי מוצדקת"" היום בבגדד."
אסף רוזנצוייגיורש העצר הסעודי מוחמד בן סלמאן אירח אמש את חברי ועדת המודיעין של הסנאט האמריקני באוהלו שבאל-עולא@N12chat,2024-01-07 00:43:21+00:00,N12chat,telegram,36,אסף רוזנצוייגיורש העצר הסעודי מוחמד בן סלמאן אירח אמש את חברי ועדת המודיעין של הסנאט האמריקני באוהלו שבאל-עולא@N12chat
"שדה""ת הבינלאומי בבגדד: הערכות לטקס ציון יום השנה הרביעי לחיסולו של קאסם סולימאני, מפקד כוח אלקדס במשמרות המהפכה האיראנים, בידי ממשל טראמפ.הוא חוסל בתאריך 3.1.20 בשעה 01:20 לפנות בוקר - שעון עיראק (חצות ועשרים שעון ישראל).הוא חוסל יחד עם אבו מהדי אלמהנדס, מפקד גדודי חזבאללה עיראק ומפקד ארגון אלחשד אלשעבי, בשעה שנסעו בשני רכבים סמוך לחומת שדה""ת (מה שנותר מהרכבים הפך לאנדרטה וכך גם החורים על חומת שדה""ת)User sent a photo",2024-01-02 14:51:26+00:00,abualiexpress,telegram,37,"שדה""ת הבינלאומי בבגדד: הערכות לטקס ציון יום השנה הרביעי לחיסולו של קאסם סולימאני, מפקד כוח אלקדס במשמרות המהפכה האיראנים, בידי ממשל טראמפ.הוא חוסל בתאריך 3.1.20 בשעה 01:20 לפנות בוקר - שעון עיראק (חצות ועשרים שעון ישראל).הוא חוסל יחד עם אבו מהדי אלמהנדס, מפקד גדודי חזבאללה עיראק ומפקד ארגון אלחשד אלשעבי, בשעה שנסעו בשני רכבים סמוך לחומת שדה""ת (מה שנותר מהרכבים הפך לאנדרטה וכך גם החורים על חומת שדה""ת)User sent a photo"
"הכניסה למחנה הפליטים אלמע'אזי במרכז הרצועה :""Good Voyage...""כדי להגיב לכתבה לחצו כאן",2024-01-16 12:47:27+00:00,abualiexpress,telegram,38,"הכניסה למחנה הפליטים אלמע'אזי במרכז הרצועה :""Good Voyage...""כדי להגיב לכתבה לחצו כאן"
אחד ההרוגים בתקיפה בפרויקט מדינת חמד בח'אן יונס הוא אחמד עיוש.זהותו של ההרוג הנוסף לא פורסמה עדיין.כדי להגיב לכתבה לחצו כאן,2023-12-01 07:34:45+00:00,abualiexpress,telegram,39,אחד ההרוגים בתקיפה בפרויקט מדינת חמד בח'אן יונס הוא אחמד עיוש.זהותו של ההרוג הנוסף לא פורסמה עדיין.כדי להגיב לכתבה לחצו כאן
"מבנה שתקף צה""ל בבית לאהיא בצפון הרצועה.User sent a document",2023-11-22 13:42:43+00:00,abualiexpress,telegram,40,"מבנה שתקף צה""ל בבית לאהיא בצפון הרצועה.User sent a document"
"רשת אלערביה: 3 הרוגים בתקיפת הכטב""מ הישראלי בכפר ע'נדוריה בדרום לבנון.",2024-01-09 08:08:35+00:00,abualiexpress,telegram,41,"רשת אלערביה: 3 הרוגים בתקיפת הכטב""מ הישראלי בכפר ע'נדוריה בדרום לבנון."
"אהוד יעריפרסום ראשון | בפגישה עם שר החוץ האמריקני בלינקן, יו""ר הרשות הפלסטינית אבו מאזן הגיש לו את תוכנית שלמה ל""יום שאחרי"" המלחמה של ישראל בחמאס, שכוללת כמה דרישות כתנאי לכך שהרשות תשלוט ברצועה@N12chat",2023-11-30 18:25:41+00:00,N12chat,telegram,42,"אהוד יעריפרסום ראשון | בפגישה עם שר החוץ האמריקני בלינקן, יו""ר הרשות הפלסטינית אבו מאזן הגיש לו את תוכנית שלמה ל""יום שאחרי"" המלחמה של ישראל בחמאס, שכוללת כמה דרישות כתנאי לכך שהרשות תשלוט ברצועה@N12chat"
"על רקע התקפות החות'ים בבאב אלמנדב, חברת השילוח הבינלאומי הגרמנית האפאג לויד, הודיעה על השקת מסדרון שילוח יבשתי מחופי המפרץ הפרסי באיחוד האמירויות וסעודיה ועד לים האדום באופן שעוקף את ""הבעיה החות'ית"" וגם מקצר משמעותית את זמן השילוח.מסדרון זה מסייע גם למצרים להחיות מעט את תנועת השילוח בתעלת סואץ, המהווה הכנסה כלכלית מרכזית של מצרים.כדי להגיב לכתבה לחצו כאן",2024-01-24 06:33:46+00:00,abualiexpress,telegram,43,"על רקע התקפות החות'ים בבאב אלמנדב, חברת השילוח הבינלאומי הגרמנית האפאג לויד, הודיעה על השקת מסדרון שילוח יבשתי מחופי המפרץ הפרסי באיחוד האמירויות וסעודיה ועד לים האדום באופן שעוקף את ""הבעיה החות'ית"" וגם מקצר משמעותית את זמן השילוח.מסדרון זה מסייע גם למצרים להחיות מעט את תנועת השילוח בתעלת סואץ, המהווה הכנסה כלכלית מרכזית של מצרים.כדי להגיב לכתבה לחצו כאן"
"אור רבידאירוע הירי באור יהודה: המשטרה פתחה בחקירה ואוספת ראיות בזירה, בנוסף לסריקות על מנת לאתר מעורבים@N12chat",2024-02-25 09:24:16+00:00,N12chat,telegram,44,"אור רבידאירוע הירי באור יהודה: המשטרה פתחה בחקירה ואוספת ראיות בזירה, בנוסף לסריקות על מנת לאתר מעורבים@N12chat"
גאנם איברהיםדיווחים בלבנון על פיצוץ בדאחיה הדרומית בביירות@N12chat,2024-01-02 16:01:36+00:00,N12chat,telegram,45,גאנם איברהיםדיווחים בלבנון על פיצוץ בדאחיה הדרומית בביירות@N12chat
"אלג'זירה: כטב""מ ישראלי שיגר טיל לעבר שטח פתוח באזור הכפר רשאף בדרום לבנון.  כדי להגיב לכתבה לחצו כאן",2023-11-30 12:02:38+00:00,abualiexpress,telegram,46,"אלג'זירה: כטב""מ ישראלי שיגר טיל לעבר שטח פתוח באזור הכפר רשאף בדרום לבנון.  כדי להגיב לכתבה לחצו כאן"
בן גולדפריינדאליפות העולם בקטאר: נבחרת השליחות ל-200X4 הבטיחה את מקומה באולימפיאדת פריז 2024. השיא הישראלי שנקבע באליפות הקודמת הספיק כדי להיות בין 16 הראשונות. דריה גולובטי סיימה במקום ה-21 במוקדמות 100 מטר חופשי@N12chat,2024-02-15 08:50:16+00:00,N12chat,telegram,47,בן גולדפריינדאליפות העולם בקטאר: נבחרת השליחות ל-200X4 הבטיחה את מקומה באולימפיאדת פריז 2024. השיא הישראלי שנקבע באליפות הקודמת הספיק כדי להיות בין 16 הראשונות. דריה גולובטי סיימה במקום ה-21 במוקדמות 100 מטר חופשי@N12chat
"רפיח, דרום הרצועה: ההמון הפלסטיני ""מפשיט"" משאית סיוע בתוך זמן קצר, בקרב על פת הלחם.User sent a document",2023-12-17 12:26:38+00:00,abualiexpress,telegram,48,"רפיח, דרום הרצועה: ההמון הפלסטיני ""מפשיט"" משאית סיוע בתוך זמן קצר, בקרב על פת הלחם.User sent a document"
"מבזקן 12דיווח בוול סטריט ג'ורנל: ארה""ב מתכננת לשלוח נשק לישראל תוך דחיפה של הנשיא ביידן להפסקת אש@N12chat",2024-02-17 04:34:41+00:00,N12chat,telegram,49,"מבזקן 12דיווח בוול סטריט ג'ורנל: ארה""ב מתכננת לשלוח נשק לישראל תוך דחיפה של הנשיא ביידן להפסקת אש@N12chat"
"דסק החוץעם זאת, לפי הדיווח עדיין לא הוחלט בישראל אם להוציא את הפעולה לפועל@N12chat",2023-12-04 23:50:52+00:00,N12chat,telegram,50,"דסק החוץעם זאת, לפי הדיווח עדיין לא הוחלט בישראל אם להוציא את הפעולה לפועל@N12chat"
ערוצים עזתיים: תושבים באזור קיזאן א-נג'אר בדרום ח'אן יונס מקבלים הודעות מישראל הקוראות להם להתפנות.כדי להגיב לכתבה לחצו כאן,2023-12-25 16:35:07+00:00,abualiexpress,telegram,51,ערוצים עזתיים: תושבים באזור קיזאן א-נג'אר בדרום ח'אן יונס מקבלים הודעות מישראל הקוראות להם להתפנות.כדי להגיב לכתבה לחצו כאן
"בן גולדפריינדדיוויד בלאט וטל ברודי מועמדים להיכנס להיכל התהילה הבין-לאומי של הכדורסל, על שם ג'יימס נייסמית' בקטגוריה הבין-לאומית. מדובר במועמדות ראשונה עבור בלאט ושישית של ברודי@N12chat",2023-12-22 07:31:18+00:00,N12chat,telegram,52,"בן גולדפריינדדיוויד בלאט וטל ברודי מועמדים להיכנס להיכל התהילה הבין-לאומי של הכדורסל, על שם ג'יימס נייסמית' בקטגוריה הבין-לאומית. מדובר במועמדות ראשונה עבור בלאט ושישית של ברודי@N12chat"
